Jurisdiction,Year,Fuel,Unit,Quantity
AUS,2000,Coal,PJ,2081.5
AUS,2000,Gas,PJ,959.9
AUS,2000,Oil,PJ,1701.5
AUS,2000,Renewables,PJ,268.9
AUS,2000,Statistical Discrepancy,PJ,0
AUS,2000,Total,PJ,5011.8
AUS,2001,Coal,PJ,2127.8
AUS,2001,Gas,PJ,974.7
AUS,2001,Oil,PJ,1750
AUS,2001,Renewables,PJ,244.5
AUS,2001,Statistical Discrepancy,PJ,0
AUS,2001,Total,PJ,5097
AUS,2002,Coal,PJ,2118.679
AUS,2002,Gas,PJ,942.133
AUS,2002,Oil,PJ,1801.856
AUS,2002,Renewables,PJ,214.41
AUS,2002,Statistical Discrepancy,PJ,61.596
AUS,2002,Total,PJ,5138.674
AUS,2003,Coal,PJ,2221.693
AUS,2003,Gas,PJ,973.985
AUS,2003,Oil,PJ,1810.489
AUS,2003,Renewables,PJ,217.522
AUS,2003,Statistical Discrepancy,PJ,61.039
AUS,2003,Total,PJ,5284.727
AUS,2004,Coal,PJ,2254.525
AUS,2004,Gas,PJ,996.442
AUS,2004,Oil,PJ,1869.026
AUS,2004,Renewables,PJ,220.544
AUS,2004,Statistical Discrepancy,PJ,58.663
AUS,2004,Total,PJ,5399.2
AUS,2005,Coal,PJ,2292.659
AUS,2005,Gas,PJ,1000.854
AUS,2005,Oil,PJ,1969.749
AUS,2005,Renewables,PJ,220.292
AUS,2005,Statistical Discrepancy,PJ,63.188
AUS,2005,Total,PJ,5546.742
AUS,2006,Coal,PJ,2316.59
AUS,2006,Gas,PJ,1131.909
AUS,2006,Oil,PJ,1988.3
AUS,2006,Renewables,PJ,226.245
AUS,2006,Statistical Discrepancy,PJ,60.947
AUS,2006,Total,PJ,5723.991
AUS,2007,Coal,PJ,2300.178
AUS,2007,Gas,PJ,1168.703
AUS,2007,Oil,PJ,1984.072
AUS,2007,Renewables,PJ,231.449
AUS,2007,Statistical Discrepancy,PJ,53.927
AUS,2007,Total,PJ,5738.33
AUS,2008,Coal,PJ,2351.03
AUS,2008,Gas,PJ,1252.872
AUS,2008,Oil,PJ,2000.72
AUS,2008,Renewables,PJ,239.941
AUS,2008,Statistical Discrepancy,PJ,-0.33
AUS,2008,Total,PJ,5844.233
AUS,2009,Coal,PJ,2224.751
AUS,2009,Gas,PJ,1257.834
AUS,2009,Oil,PJ,2057.962
AUS,2009,Renewables,PJ,282.626
AUS,2009,Statistical Discrepancy,PJ,0.63
AUS,2009,Total,PJ,5823.803
AUS,2010,Coal,PJ,2123.908
AUS,2010,Gas,PJ,1274.207
AUS,2010,Oil,PJ,2211.984
AUS,2010,Renewables,PJ,294.58
AUS,2010,Statistical Discrepancy,PJ,-1.79
AUS,2010,Total,PJ,5902.889
AUS,2011,Coal,PJ,2074.666
AUS,2011,Gas,PJ,1338.544
AUS,2011,Oil,PJ,2184.155
AUS,2011,Renewables,PJ,293.827
AUS,2011,Statistical Discrepancy,PJ,-2.766
AUS,2011,Total,PJ,5888.427
AUS,2012,Coal,PJ,1930.905
AUS,2012,Gas,PJ,1376.47
AUS,2012,Oil,PJ,2277.953
AUS,2012,Renewables,PJ,333.541
AUS,2012,Statistical Discrepancy,PJ,-2.137
AUS,2012,Total,PJ,5916.732
AUS,2013,Coal,PJ,1845.765
AUS,2013,Gas,PJ,1383.756
AUS,2013,Oil,PJ,2297.183
AUS,2013,Renewables,PJ,344.246
AUS,2013,Statistical Discrepancy,PJ,0
AUS,2013,Total,PJ,5870.951
AUS,2014,Coal,PJ,1907.162
AUS,2014,Gas,PJ,1406.951
AUS,2014,Oil,PJ,2236.646
AUS,2014,Renewables,PJ,347.666
AUS,2014,Statistical Discrepancy,PJ,-0.006
AUS,2014,Total,PJ,5898.418
AUS,2015,Coal,PJ,1954.878
AUS,2015,Gas,PJ,1440.327
AUS,2015,Oil,PJ,2279.486
AUS,2015,Renewables,PJ,360.187
AUS,2015,Statistical Discrepancy,PJ,-0.006
AUS,2015,Total,PJ,6034.872
AUS,2016,Coal,PJ,1930.031
AUS,2016,Gas,PJ,1477.62
AUS,2016,Oil,PJ,2318.013
AUS,2016,Renewables,PJ,379.078
AUS,2016,Statistical Discrepancy,PJ,-0.091
AUS,2016,Total,PJ,6104.651
AUS,2017,Coal,PJ,1847.29
AUS,2017,Gas,PJ,1534.393
AUS,2017,Oil,PJ,2404.055
AUS,2017,Renewables,PJ,382.453
AUS,2017,Statistical Discrepancy,PJ,-0.098
AUS,2017,Total,PJ,6168.093
AUS,2018,Coal,PJ,1801.746
AUS,2018,Gas,PJ,1561.924
AUS,2018,Oil,PJ,2424.419
AUS,2018,Renewables,PJ,400.194
AUS,2018,Statistical Discrepancy,PJ,0
AUS,2018,Total,PJ,6188.282
AUS,2019,Coal,PJ,1706.736
AUS,2019,Gas,PJ,1623.785
AUS,2019,Oil,PJ,2251.769
AUS,2019,Renewables,PJ,418.758
AUS,2019,Statistical Discrepancy,PJ,0
AUS,2019,Total,PJ,6001.048
AUS,2020,Coal,PJ,1661.358
AUS,2020,Gas,PJ,1561.075
AUS,2020,Oil,PJ,2082.155
AUS,2020,Renewables,PJ,464.63
AUS,2020,Statistical Discrepancy,PJ,0
AUS,2020,Total,PJ,5769.218
AUS,2021,Coal,PJ,1586.755
AUS,2021,Gas,PJ,1559.345
AUS,2021,Oil,PJ,2106.89
AUS,2021,Renewables,PJ,512.147
AUS,2021,Statistical Discrepancy,PJ,0
AUS,2021,Total,PJ,5765.137
AUS,2022,Coal,PJ,1525.029
AUS,2022,Gas,PJ,1518.128
AUS,2022,Oil,PJ,2285.489
AUS,2022,Renewables,PJ,553.559
AUS,2022,Statistical Discrepancy,PJ,0
AUS,2022,Total,PJ,5882.206
NSW,2008,Coal,PJ,800.912
NSW,2008,Gas,PJ,131.649
NSW,2008,Oil,PJ,587.462
NSW,2008,Renewables,PJ,54.708
NSW,2008,Statistical Discrepancy,PJ,18.807
NSW,2008,Total,PJ,1593.538
NSW,2009,Coal,PJ,771.822
NSW,2009,Gas,PJ,148.728
NSW,2009,Oil,PJ,638.865
NSW,2009,Renewables,PJ,63.757
NSW,2009,Statistical Discrepancy,PJ,22.116
NSW,2009,Total,PJ,1645.288
NSW,2010,Coal,PJ,732.238
NSW,2010,Gas,PJ,146.544
NSW,2010,Oil,PJ,684.98
NSW,2010,Renewables,PJ,68.593
NSW,2010,Statistical Discrepancy,PJ,35.67
NSW,2010,Total,PJ,1668.025
NSW,2011,Coal,PJ,692.719
NSW,2011,Gas,PJ,142.148
NSW,2011,Oil,PJ,687.369
NSW,2011,Renewables,PJ,71.058
NSW,2011,Statistical Discrepancy,PJ,28.009
NSW,2011,Total,PJ,1621.305
NSW,2012,Coal,PJ,642.979
NSW,2012,Gas,PJ,157.355
NSW,2012,Oil,PJ,677.412
NSW,2012,Renewables,PJ,70.889
NSW,2012,Statistical Discrepancy,PJ,19.791
NSW,2012,Total,PJ,1568.427
NSW,2013,Coal,PJ,603.522
NSW,2013,Gas,PJ,166.986
NSW,2013,Oil,PJ,666.561
NSW,2013,Renewables,PJ,72.762
NSW,2013,Statistical Discrepancy,PJ,16.707
NSW,2013,Total,PJ,1526.538
NSW,2014,Coal,PJ,587.811
NSW,2014,Gas,PJ,163.48
NSW,2014,Oil,PJ,621.438
NSW,2014,Renewables,PJ,70.998
NSW,2014,Statistical Discrepancy,PJ,35.11
NSW,2014,Total,PJ,1478.836
NSW,2015,Coal,PJ,620.928
NSW,2015,Gas,PJ,164.803
NSW,2015,Oil,PJ,633.633
NSW,2015,Renewables,PJ,82.431
NSW,2015,Statistical Discrepancy,PJ,22.461
NSW,2015,Total,PJ,1524.256
NSW,2016,Coal,PJ,625.937
NSW,2016,Gas,PJ,143.64
NSW,2016,Oil,PJ,652.595
NSW,2016,Renewables,PJ,84.453
NSW,2016,Statistical Discrepancy,PJ,26.424
NSW,2016,Total,PJ,1533.049
NSW,2017,Coal,PJ,636.711
NSW,2017,Gas,PJ,144.058
NSW,2017,Oil,PJ,672.427
NSW,2017,Renewables,PJ,86.6
NSW,2017,Statistical Discrepancy,PJ,24.876
NSW,2017,Total,PJ,1564.673
NSW,2018,Coal,PJ,640.327
NSW,2018,Gas,PJ,139.224
NSW,2018,Oil,PJ,665.034
NSW,2018,Renewables,PJ,90.366
NSW,2018,Statistical Discrepancy,PJ,20.675
NSW,2018,Total,PJ,1555.625
NSW,2019,Coal,PJ,606.644
NSW,2019,Gas,PJ,141.888
NSW,2019,Oil,PJ,611.402
NSW,2019,Renewables,PJ,95.63
NSW,2019,Statistical Discrepancy,PJ,22.255
NSW,2019,Total,PJ,1477.818
NSW,2020,Coal,PJ,579.756
NSW,2020,Gas,PJ,135.833
NSW,2020,Oil,PJ,556.032
NSW,2020,Renewables,PJ,110.572
NSW,2020,Statistical Discrepancy,PJ,19.449
NSW,2020,Total,PJ,1401.642
NSW,2021,Coal,PJ,534.616
NSW,2021,Gas,PJ,145.271
NSW,2021,Oil,PJ,547.492
NSW,2021,Renewables,PJ,125.055
NSW,2021,Statistical Discrepancy,PJ,21.953
NSW,2021,Total,PJ,1374.387
NSW,2022,Coal,PJ,525.444
NSW,2022,Gas,PJ,134.318
NSW,2022,Oil,PJ,619.186
NSW,2022,Renewables,PJ,138.761
NSW,2022,Statistical Discrepancy,PJ,21.482
NSW,2022,Total,PJ,1439.191
NT,2008,Coal,PJ,0
NT,2008,Gas,PJ,39.919
NT,2008,Oil,PJ,54.751
NT,2008,Renewables,PJ,0.372
NT,2008,Statistical Discrepancy,PJ,0.002
NT,2008,Total,PJ,95.044
NT,2009,Coal,PJ,0
NT,2009,Gas,PJ,41.954
NT,2009,Oil,PJ,51.859
NT,2009,Renewables,PJ,0.472
NT,2009,Statistical Discrepancy,PJ,-0.111
NT,2009,Total,PJ,94.174
NT,2010,Coal,PJ,0
NT,2010,Gas,PJ,44.122
NT,2010,Oil,PJ,54.939
NT,2010,Renewables,PJ,0.481
NT,2010,Statistical Discrepancy,PJ,0.244
NT,2010,Total,PJ,99.786
NT,2011,Coal,PJ,0
NT,2011,Gas,PJ,41.958
NT,2011,Oil,PJ,55.702
NT,2011,Renewables,PJ,0.489
NT,2011,Statistical Discrepancy,PJ,0.045
NT,2011,Total,PJ,98.194
NT,2012,Coal,PJ,0
NT,2012,Gas,PJ,45.3
NT,2012,Oil,PJ,54.157
NT,2012,Renewables,PJ,0.526
NT,2012,Statistical Discrepancy,PJ,0.172
NT,2012,Total,PJ,100.156
NT,2013,Coal,PJ,0
NT,2013,Gas,PJ,47.367
NT,2013,Oil,PJ,51.205
NT,2013,Renewables,PJ,0.569
NT,2013,Statistical Discrepancy,PJ,0
NT,2013,Total,PJ,99.141
NT,2014,Coal,PJ,0
NT,2014,Gas,PJ,44.943
NT,2014,Oil,PJ,38.397
NT,2014,Renewables,PJ,0.647
NT,2014,Statistical Discrepancy,PJ,0
NT,2014,Total,PJ,83.987
NT,2015,Coal,PJ,0
NT,2015,Gas,PJ,49.815
NT,2015,Oil,PJ,33.42
NT,2015,Renewables,PJ,0.684
NT,2015,Statistical Discrepancy,PJ,0
NT,2015,Total,PJ,83.919
NT,2016,Coal,PJ,0
NT,2016,Gas,PJ,48.124
NT,2016,Oil,PJ,34.387
NT,2016,Renewables,PJ,0.809
NT,2016,Statistical Discrepancy,PJ,0
NT,2016,Total,PJ,83.32
NT,2017,Coal,PJ,0
NT,2017,Gas,PJ,46.908
NT,2017,Oil,PJ,42.286
NT,2017,Renewables,PJ,0.967
NT,2017,Statistical Discrepancy,PJ,0
NT,2017,Total,PJ,90.161
NT,2018,Coal,PJ,0
NT,2018,Gas,PJ,86.125
NT,2018,Oil,PJ,45.787
NT,2018,Renewables,PJ,1.11
NT,2018,Statistical Discrepancy,PJ,0
NT,2018,Total,PJ,133.022
NT,2019,Coal,PJ,0
NT,2019,Gas,PJ,108.691
NT,2019,Oil,PJ,36.497
NT,2019,Renewables,PJ,1.311
NT,2019,Statistical Discrepancy,PJ,0
NT,2019,Total,PJ,146.499
NT,2020,Coal,PJ,0
NT,2020,Gas,PJ,106.246
NT,2020,Oil,PJ,37.615
NT,2020,Renewables,PJ,1.48
NT,2020,Statistical Discrepancy,PJ,0
NT,2020,Total,PJ,145.341
NT,2021,Coal,PJ,0
NT,2021,Gas,PJ,110.567
NT,2021,Oil,PJ,37.623
NT,2021,Renewables,PJ,1.582
NT,2021,Statistical Discrepancy,PJ,0
NT,2021,Total,PJ,149.773
NT,2022,Coal,PJ,0
NT,2022,Gas,PJ,91.281
NT,2022,Oil,PJ,36.569
NT,2022,Renewables,PJ,1.742
NT,2022,Statistical Discrepancy,PJ,0
NT,2022,Total,PJ,129.592
QLD,2008,Coal,PJ,629.212
QLD,2008,Gas,PJ,187.938
QLD,2008,Oil,PJ,469.531
QLD,2008,Renewables,PJ,77.402
QLD,2008,Statistical Discrepancy,PJ,-18.354
QLD,2008,Total,PJ,1345.729
QLD,2009,Coal,PJ,547.51
QLD,2009,Gas,PJ,195.803
QLD,2009,Oil,PJ,466.869
QLD,2009,Renewables,PJ,107.377
QLD,2009,Statistical Discrepancy,PJ,-23.175
QLD,2009,Total,PJ,1294.384
QLD,2010,Coal,PJ,497.209
QLD,2010,Gas,PJ,190.552
QLD,2010,Oil,PJ,483.317
QLD,2010,Renewables,PJ,98.739
QLD,2010,Statistical Discrepancy,PJ,-20.22
QLD,2010,Total,PJ,1249.598
QLD,2011,Coal,PJ,481.546
QLD,2011,Gas,PJ,246.145
QLD,2011,Oil,PJ,504.806
QLD,2011,Renewables,PJ,99.737
QLD,2011,Statistical Discrepancy,PJ,-17.417
QLD,2011,Total,PJ,1314.818
QLD,2012,Coal,PJ,473.41
QLD,2012,Gas,PJ,239.824
QLD,2012,Oil,PJ,514.669
QLD,2012,Renewables,PJ,114.237
QLD,2012,Statistical Discrepancy,PJ,-7.348
QLD,2012,Total,PJ,1334.792
QLD,2013,Coal,PJ,442.851
QLD,2013,Gas,PJ,257.996
QLD,2013,Oil,PJ,531.185
QLD,2013,Renewables,PJ,109.563
QLD,2013,Statistical Discrepancy,PJ,-2.734
QLD,2013,Total,PJ,1338.862
QLD,2014,Coal,PJ,485.277
QLD,2014,Gas,PJ,294.916
QLD,2014,Oil,PJ,555.492
QLD,2014,Renewables,PJ,122.537
QLD,2014,Statistical Discrepancy,PJ,-22.088
QLD,2014,Total,PJ,1436.133
QLD,2015,Coal,PJ,517.791
QLD,2015,Gas,PJ,296.399
QLD,2015,Oil,PJ,542.481
QLD,2015,Renewables,PJ,120.39
QLD,2015,Statistical Discrepancy,PJ,-12.506
QLD,2015,Total,PJ,1464.555
QLD,2016,Coal,PJ,544.167
QLD,2016,Gas,PJ,309.582
QLD,2016,Oil,PJ,563.642
QLD,2016,Renewables,PJ,129.588
QLD,2016,Statistical Discrepancy,PJ,-15.091
QLD,2016,Total,PJ,1531.887
QLD,2017,Coal,PJ,570.59
QLD,2017,Gas,PJ,302.269
QLD,2017,Oil,PJ,579.146
QLD,2017,Renewables,PJ,120.629
QLD,2017,Statistical Discrepancy,PJ,-24.204
QLD,2017,Total,PJ,1548.429
QLD,2018,Coal,PJ,554.152
QLD,2018,Gas,PJ,294.018
QLD,2018,Oil,PJ,577.321
QLD,2018,Renewables,PJ,123.899
