Jurisdiction,Year,Fuel,Unit,Quantity
QLD,2018,Statistical Discrepancy,PJ,-19.88
QLD,2018,Total,PJ,1529.509
QLD,2019,Coal,PJ,524.384
QLD,2019,Gas,PJ,312.968
QLD,2019,Oil,PJ,543.786
QLD,2019,Renewables,PJ,127.023
QLD,2019,Statistical Discrepancy,PJ,-21.855
QLD,2019,Total,PJ,1486.306
QLD,2020,Coal,PJ,506.121
QLD,2020,Gas,PJ,313.028
QLD,2020,Oil,PJ,501.811
QLD,2020,Renewables,PJ,139.606
QLD,2020,Statistical Discrepancy,PJ,-17.949
QLD,2020,Total,PJ,1442.618
QLD,2021,Coal,PJ,485.647
QLD,2021,Gas,PJ,305.693
QLD,2021,Oil,PJ,504.954
QLD,2021,Renewables,PJ,143.158
QLD,2021,Statistical Discrepancy,PJ,-11.138
QLD,2021,Total,PJ,1428.315
QLD,2022,Coal,PJ,471.089
QLD,2022,Gas,PJ,290.533
QLD,2022,Oil,PJ,532.568
QLD,2022,Renewables,PJ,162.23
QLD,2022,Statistical Discrepancy,PJ,-14.678
QLD,2022,Total,PJ,1441.742
SA,2008,Coal,PJ,80.189
SA,2008,Gas,PJ,134.012
SA,2008,Oil,PJ,120.167
SA,2008,Renewables,PJ,21.189
SA,2008,Statistical Discrepancy,PJ,1.668
SA,2008,Total,PJ,357.225
SA,2009,Coal,PJ,79.659
SA,2009,Gas,PJ,119.466
SA,2009,Oil,PJ,120.457
SA,2009,Renewables,PJ,20.431
SA,2009,Statistical Discrepancy,PJ,3.714
SA,2009,Total,PJ,343.727
SA,2010,Coal,PJ,72.576
SA,2010,Gas,PJ,121.81
SA,2010,Oil,PJ,119.284
SA,2010,Renewables,PJ,23.78
SA,2010,Statistical Discrepancy,PJ,5.359
SA,2010,Total,PJ,342.809
SA,2011,Coal,PJ,60.859
SA,2011,Gas,PJ,125.182
SA,2011,Oil,PJ,89.42
SA,2011,Renewables,PJ,24.702
SA,2011,Statistical Discrepancy,PJ,7.5
SA,2011,Total,PJ,307.665
SA,2012,Coal,PJ,50.709
SA,2012,Gas,PJ,124.634
SA,2012,Oil,PJ,147.358
SA,2012,Renewables,PJ,25.109
SA,2012,Statistical Discrepancy,PJ,8.468
SA,2012,Total,PJ,356.279
SA,2013,Coal,PJ,46.68
SA,2013,Gas,PJ,110.085
SA,2013,Oil,PJ,141.047
SA,2013,Renewables,PJ,29.096
SA,2013,Statistical Discrepancy,PJ,10.157
SA,2013,Total,PJ,337.065
SA,2014,Coal,PJ,53.961
SA,2014,Gas,PJ,99.515
SA,2014,Oil,PJ,163.36
SA,2014,Renewables,PJ,30.693
SA,2014,Statistical Discrepancy,PJ,9.396
SA,2014,Total,PJ,356.925
SA,2015,Coal,PJ,52.624
SA,2015,Gas,PJ,100.574
SA,2015,Oil,PJ,121.209
SA,2015,Renewables,PJ,31.594
SA,2015,Statistical Discrepancy,PJ,10.386
SA,2015,Total,PJ,316.387
SA,2016,Coal,PJ,26.064
SA,2016,Gas,PJ,109.573
SA,2016,Oil,PJ,106.567
SA,2016,Renewables,PJ,31.926
SA,2016,Statistical Discrepancy,PJ,13.251
SA,2016,Total,PJ,287.382
SA,2017,Coal,PJ,25.889
SA,2017,Gas,PJ,120.394
SA,2017,Oil,PJ,148.969
SA,2017,Renewables,PJ,37.254
SA,2017,Statistical Discrepancy,PJ,2.148
SA,2017,Total,PJ,334.653
SA,2018,Coal,PJ,26.337
SA,2018,Gas,PJ,108.318
SA,2018,Oil,PJ,148.762
SA,2018,Renewables,PJ,38.955
SA,2018,Statistical Discrepancy,PJ,2.136
SA,2018,Total,PJ,324.507
SA,2019,Coal,PJ,24.729
SA,2019,Gas,PJ,103.724
SA,2019,Oil,PJ,145.983
SA,2019,Renewables,PJ,40.932
SA,2019,Statistical Discrepancy,PJ,2.335
SA,2019,Total,PJ,317.704
SA,2020,Coal,PJ,25.392
SA,2020,Gas,PJ,92.21
SA,2020,Oil,PJ,143.272
SA,2020,Renewables,PJ,44.25
SA,2020,Statistical Discrepancy,PJ,3.61
SA,2020,Total,PJ,308.734
SA,2021,Coal,PJ,25.939
SA,2021,Gas,PJ,80.164
SA,2021,Oil,PJ,141.947
SA,2021,Renewables,PJ,48.085
SA,2021,Statistical Discrepancy,PJ,5.139
SA,2021,Total,PJ,301.274
SA,2022,Coal,PJ,22.004
SA,2022,Gas,PJ,74.762
SA,2022,Oil,PJ,144.925
SA,2022,Renewables,PJ,52.962
SA,2022,Statistical Discrepancy,PJ,5.347
SA,2022,Total,PJ,300.001
TAS,2008,Coal,PJ,12.437
TAS,2008,Gas,PJ,11.178
TAS,2008,Oil,PJ,41.565
TAS,2008,Renewables,PJ,37.086
TAS,2008,Statistical Discrepancy,PJ,11.528
TAS,2008,Total,PJ,113.795
TAS,2009,Coal,PJ,11.458
TAS,2009,Gas,PJ,13.567
TAS,2009,Oil,PJ,41.527
TAS,2009,Renewables,PJ,40.015
TAS,2009,Statistical Discrepancy,PJ,7.178
TAS,2009,Total,PJ,113.744
TAS,2010,Coal,PJ,10.137
TAS,2010,Gas,PJ,17.685
TAS,2010,Oil,PJ,39.19
TAS,2010,Renewables,PJ,43.05
TAS,2010,Statistical Discrepancy,PJ,3.763
TAS,2010,Total,PJ,113.825
TAS,2011,Coal,PJ,8.855
TAS,2011,Gas,PJ,16.157
TAS,2011,Oil,PJ,38.099
TAS,2011,Renewables,PJ,39.809
TAS,2011,Statistical Discrepancy,PJ,4.051
TAS,2011,Total,PJ,106.97
TAS,2012,Coal,PJ,11.996
TAS,2012,Gas,PJ,17.707
TAS,2012,Oil,PJ,38.538
TAS,2012,Renewables,PJ,48.479
TAS,2012,Statistical Discrepancy,PJ,-4.398
TAS,2012,Total,PJ,112.322
TAS,2013,Coal,PJ,11.017
TAS,2013,Gas,PJ,12.417
TAS,2013,Oil,PJ,38.177
TAS,2013,Renewables,PJ,54.173
TAS,2013,Statistical Discrepancy,PJ,-7.782
TAS,2013,Total,PJ,108.002
TAS,2014,Coal,PJ,11.348
TAS,2014,Gas,PJ,6.584
TAS,2014,Oil,PJ,37.856
TAS,2014,Renewables,PJ,41.278
TAS,2014,Statistical Discrepancy,PJ,7.86
TAS,2014,Total,PJ,104.927
TAS,2015,Coal,PJ,9.708
TAS,2015,Gas,PJ,12.944
TAS,2015,Oil,PJ,38.098
TAS,2015,Renewables,PJ,40.869
TAS,2015,Statistical Discrepancy,PJ,5.44
TAS,2015,Total,PJ,107.059
TAS,2016,Coal,PJ,10.684
TAS,2016,Gas,PJ,13.165
TAS,2016,Oil,PJ,37.049
TAS,2016,Renewables,PJ,41.925
TAS,2016,Statistical Discrepancy,PJ,4.64
TAS,2016,Total,PJ,107.463
TAS,2017,Coal,PJ,10.471
TAS,2017,Gas,PJ,13.92
TAS,2017,Oil,PJ,38.099
TAS,2017,Renewables,PJ,45.937
TAS,2017,Statistical Discrepancy,PJ,2.114
TAS,2017,Total,PJ,110.54
TAS,2018,Coal,PJ,10.045
TAS,2018,Gas,PJ,10.591
TAS,2018,Oil,PJ,40.298
TAS,2018,Renewables,PJ,46.559
TAS,2018,Statistical Discrepancy,PJ,0.667
TAS,2018,Total,PJ,108.161
TAS,2019,Coal,PJ,8.266
TAS,2019,Gas,PJ,7.398
TAS,2019,Oil,PJ,37.323
TAS,2019,Renewables,PJ,47.412
TAS,2019,Statistical Discrepancy,PJ,-0.322
TAS,2019,Total,PJ,100.079
TAS,2020,Coal,PJ,8.058
TAS,2020,Gas,PJ,7.324
TAS,2020,Oil,PJ,39.963
TAS,2020,Renewables,PJ,43.438
TAS,2020,Statistical Discrepancy,PJ,4.325
TAS,2020,Total,PJ,103.108
TAS,2021,Coal,PJ,8.768
TAS,2021,Gas,PJ,7.064
TAS,2021,Oil,PJ,39.885
TAS,2021,Renewables,PJ,48.37
TAS,2021,Statistical Discrepancy,PJ,1.287
TAS,2021,Total,PJ,105.375
TAS,2022,Coal,PJ,8.845
TAS,2022,Gas,PJ,7.238
TAS,2022,Oil,PJ,39.501
TAS,2022,Renewables,PJ,43.88
TAS,2022,Statistical Discrepancy,PJ,5.987
TAS,2022,Total,PJ,105.451
VIC,2008,Coal,PJ,695.335
VIC,2008,Gas,PJ,273.499
VIC,2008,Oil,PJ,432.9
VIC,2008,Renewables,PJ,33.595
VIC,2008,Statistical Discrepancy,PJ,-13.649
VIC,2008,Total,PJ,1421.679
VIC,2009,Coal,PJ,688.721
VIC,2009,Gas,PJ,263.452
VIC,2009,Oil,PJ,448.436
VIC,2009,Renewables,PJ,35.963
VIC,2009,Statistical Discrepancy,PJ,-9.832
VIC,2009,Total,PJ,1426.739
VIC,2010,Coal,PJ,681.172
VIC,2010,Gas,PJ,258.585
VIC,2010,Oil,PJ,488.779
VIC,2010,Renewables,PJ,44.662
VIC,2010,Statistical Discrepancy,PJ,-24.641
VIC,2010,Total,PJ,1448.557
VIC,2011,Coal,PJ,705.717
VIC,2011,Gas,PJ,263.602
VIC,2011,Oil,PJ,469.251
VIC,2011,Renewables,PJ,40.988
VIC,2011,Statistical Discrepancy,PJ,-22.246
VIC,2011,Total,PJ,1457.312
VIC,2012,Coal,PJ,622.004
VIC,2012,Gas,PJ,276.166
VIC,2012,Oil,PJ,488.295
VIC,2012,Renewables,PJ,55.457
VIC,2012,Statistical Discrepancy,PJ,-16.62
VIC,2012,Total,PJ,1425.302
VIC,2013,Coal,PJ,605.605
VIC,2013,Gas,PJ,252.831
VIC,2013,Oil,PJ,495.532
VIC,2013,Renewables,PJ,57.159
VIC,2013,Statistical Discrepancy,PJ,-16.348
VIC,2013,Total,PJ,1394.779
VIC,2014,Coal,PJ,641.152
VIC,2014,Gas,PJ,257.655
VIC,2014,Oil,PJ,464.521
VIC,2014,Renewables,PJ,59.221
VIC,2014,Statistical Discrepancy,PJ,-30.278
VIC,2014,Total,PJ,1392.271
VIC,2015,Coal,PJ,617.413
VIC,2015,Gas,PJ,253.883
VIC,2015,Oil,PJ,506.952
VIC,2015,Renewables,PJ,62.325
VIC,2015,Statistical Discrepancy,PJ,-25.781
VIC,2015,Total,PJ,1414.792
VIC,2016,Coal,PJ,577.323
VIC,2016,Gas,PJ,258.676
VIC,2016,Oil,PJ,512.388
VIC,2016,Renewables,PJ,65.626
VIC,2016,Statistical Discrepancy,PJ,-29.224
VIC,2016,Total,PJ,1384.789
VIC,2017,Coal,PJ,467.386
VIC,2017,Gas,PJ,263.553
VIC,2017,Oil,PJ,517.907
VIC,2017,Renewables,PJ,66.068
VIC,2017,Statistical Discrepancy,PJ,-4.934
VIC,2017,Total,PJ,1309.98
VIC,2018,Coal,PJ,444.1
VIC,2018,Gas,PJ,255.891
VIC,2018,Oil,PJ,507.856
VIC,2018,Renewables,PJ,72.017
VIC,2018,Statistical Discrepancy,PJ,-3.598
VIC,2018,Total,PJ,1276.267
VIC,2019,Coal,PJ,423.205
VIC,2019,Gas,PJ,256.517
VIC,2019,Oil,PJ,453.004
VIC,2019,Renewables,PJ,77.397
VIC,2019,Statistical Discrepancy,PJ,-2.414
VIC,2019,Total,PJ,1207.708
VIC,2020,Coal,PJ,427.708
VIC,2020,Gas,PJ,236.287
VIC,2020,Oil,PJ,384.921
VIC,2020,Renewables,PJ,89.349
VIC,2020,Statistical Discrepancy,PJ,-9.435
VIC,2020,Total,PJ,1128.83
VIC,2021,Coal,PJ,410.709
VIC,2021,Gas,PJ,237.504
VIC,2021,Oil,PJ,412.363
VIC,2021,Renewables,PJ,104.796
VIC,2021,Statistical Discrepancy,PJ,-17.241
VIC,2021,Total,PJ,1148.131
VIC,2022,Coal,PJ,398.198
VIC,2022,Gas,PJ,215.167
VIC,2022,Oil,PJ,465.61
VIC,2022,Renewables,PJ,111.765
VIC,2022,Statistical Discrepancy,PJ,-18.139
VIC,2022,Total,PJ,1172.601
WA,2008,Coal,PJ,132.946
WA,2008,Gas,PJ,474.676
WA,2008,Oil,PJ,294.343
WA,2008,Renewables,PJ,15.59
WA,2008,Statistical Discrepancy,PJ,-0.333
WA,2008,Total,PJ,917.222
WA,2009,Coal,PJ,125.583
WA,2009,Gas,PJ,474.864
WA,2009,Oil,PJ,289.95
WA,2009,Renewables,PJ,14.61
WA,2009,Statistical Discrepancy,PJ,0.741
WA,2009,Total,PJ,905.748
WA,2010,Coal,PJ,130.576
WA,2010,Gas,PJ,494.908
WA,2010,Oil,PJ,341.495
WA,2010,Renewables,PJ,15.274
WA,2010,Statistical Discrepancy,PJ,-1.965
WA,2010,Total,PJ,980.289
WA,2011,Coal,PJ,124.969
WA,2011,Gas,PJ,503.352
WA,2011,Oil,PJ,339.507
WA,2011,Renewables,PJ,17.044
WA,2011,Statistical Discrepancy,PJ,-2.709
WA,2011,Total,PJ,982.163
WA,2012,Coal,PJ,129.807
WA,2012,Gas,PJ,515.484
WA,2012,Oil,PJ,357.523
WA,2012,Renewables,PJ,18.843
WA,2012,Statistical Discrepancy,PJ,-2.203
WA,2012,Total,PJ,1019.454
WA,2013,Coal,PJ,136.09
WA,2013,Gas,PJ,536.073
WA,2013,Oil,PJ,373.476
WA,2013,Renewables,PJ,20.925
WA,2013,Statistical Discrepancy,PJ,0
WA,2013,Total,PJ,1066.564
WA,2014,Coal,PJ,127.613
WA,2014,Gas,PJ,539.857
WA,2014,Oil,PJ,355.581
WA,2014,Renewables,PJ,22.292
WA,2014,Statistical Discrepancy,PJ,-0.006
WA,2014,Total,PJ,1045.337
WA,2015,Coal,PJ,136.413
WA,2015,Gas,PJ,561.91
WA,2015,Oil,PJ,403.691
WA,2015,Renewables,PJ,21.894
WA,2015,Statistical Discrepancy,PJ,-0.006
WA,2015,Total,PJ,1123.903
WA,2016,Coal,PJ,145.855
WA,2016,Gas,PJ,594.861
WA,2016,Oil,PJ,411.384
WA,2016,Renewables,PJ,24.751
WA,2016,Statistical Discrepancy,PJ,-0.091
WA,2016,Total,PJ,1176.761
WA,2017,Coal,PJ,136.243
WA,2017,Gas,PJ,643.291
WA,2017,Oil,PJ,405.221
WA,2017,Renewables,PJ,24.999
WA,2017,Statistical Discrepancy,PJ,-0.098
WA,2017,Total,PJ,1209.656
WA,2018,Coal,PJ,126.785
WA,2018,Gas,PJ,667.756
WA,2018,Oil,PJ,439.361
WA,2018,Renewables,PJ,27.289
WA,2018,Statistical Discrepancy,PJ,0
WA,2018,Total,PJ,1261.191
WA,2019,Coal,PJ,119.508
WA,2019,Gas,PJ,692.598
WA,2019,Oil,PJ,423.775
WA,2019,Renewables,PJ,29.054
WA,2019,Statistical Discrepancy,PJ,0
WA,2019,Total,PJ,1264.935
WA,2020,Coal,PJ,114.323
WA,2020,Gas,PJ,670.147
WA,2020,Oil,PJ,418.539
WA,2020,Renewables,PJ,35.936
WA,2020,Statistical Discrepancy,PJ,0
WA,2020,Total,PJ,1238.945
WA,2021,Coal,PJ,121.076
WA,2021,Gas,PJ,673.08
WA,2021,Oil,PJ,422.626
WA,2021,Renewables,PJ,41.101
WA,2021,Statistical Discrepancy,PJ,0
WA,2021,Total,PJ,1257.883
WA,2022,Coal,PJ,99.449
WA,2022,Gas,PJ,704.829
WA,2022,Oil,PJ,447.131
WA,2022,Renewables,PJ,42.218
WA,2022,Statistical Discrepancy,PJ,0
WA,2022,Total,PJ,1293.628
